_High Voltage SID Collection/MUSICIANS/C/Cerix/U_Ro_bot_Dance.sid,sid,55000
_High Voltage SID Collection/MUSICIANS/C/Cerix/Cracking_Intro_Tune.sid,sid,55001
_High Voltage SID Collection/MUSICIANS/C/Comer/Terror.sid,sid,55002
_High Voltage SID Collection/MUSICIANS/C/Cane/Go_for_It.sid,sid,55003
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Moonlight_Cocktail.sid,sid,55004
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Von_Meinem_Bergli.sid,sid,55005
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Every_Tub.sid,sid,55006
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Jelly_Roll_Blues.sid,sid,55007
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Dill_Pickles.sid,sid,55008
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Frisco_Rag.sid,sid,55009
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Nickel_in_the_Slot.sid,sid,55010
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Jumpin_at_the_Woodside.sid,sid,55011
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Kitten_on_the_Keys.sid,sid,55012
_High Voltage SID Collection/MUSICIANS/C/Claff_Chester/Theme_1_by_Chet_Claff.sid,sid,55013
_High Voltage SID Collection/MUSICIANS/C/Colin_Michael/Michael_Colin_1.sid,sid,55014
_High Voltage SID Collection/MUSICIANS/C/Colin_Michael/Jocky_Wilsons_Dart_Compendium_Title_Music.sid,sid,55015
_High Voltage SID Collection/MUSICIANS/C/Colin_Michael/Michael_Colin_3.sid,sid,55016
_High Voltage SID Collection/MUSICIANS/C/Colin_Michael/Michael_Colin_2.sid,sid,55017
_High Voltage SID Collection/MUSICIANS/C/Chiummo_Gaetano/Recap.sid,sid,55018
_High Voltage SID Collection/MUSICIANS/C/Chiummo_Gaetano/Beholder.sid,sid,55019
_High Voltage SID Collection/MUSICIANS/C/Claxon/Tune_Two.sid,sid,55020
_High Voltage SID Collection/MUSICIANS/C/Claxon/Tune_One.sid,sid,55021
_High Voltage SID Collection/MUSICIANS/C/Cross_Saul/Danger_Castle_64.sid,sid,55022
_High Voltage SID Collection/MUSICIANS/C/Cross_Saul/Dizzy_in_Wonderland.sid,sid,55023
_High Voltage SID Collection/MUSICIANS/C/Cross_Saul/Imogen_Remake.sid,sid,55024
_High Voltage SID Collection/MUSICIANS/C/Cross_Saul/Spy_Hunter_plus.sid,sid,55025
_High Voltage SID Collection/MUSICIANS/C/Cross_Saul/Argus.sid,sid,55026
_High Voltage SID Collection/MUSICIANS/C/Chiummo_Aldo/Move_Me_Like_A_Movie.sid,sid,55027
_High Voltage SID Collection/MUSICIANS/C/Chiummo_Aldo/Beats_tune_1.sid,sid,55028
_High Voltage SID Collection/MUSICIANS/C/Chiummo_Aldo/Modulot_II.sid,sid,55029
_High Voltage SID Collection/MUSICIANS/C/Chiummo_Aldo/Beats_tune_3.sid,sid,55030
