_High Voltage SID Collection/MUSICIANS/M/Merman/Deathwish.sid,sid,20000
_High Voltage SID Collection/MUSICIANS/M/Merman/Debt_Collector.sid,sid,20001
_High Voltage SID Collection/MUSICIANS/M/Merman/Decaf_Caffeine_remix.sid,sid,20002
_High Voltage SID Collection/MUSICIANS/M/Merman/Deep_Deep_Trouble.sid,sid,20003
_High Voltage SID Collection/MUSICIANS/M/Merman/Defeatist_Attitude.sid,sid,20004
_High Voltage SID Collection/MUSICIANS/M/Merman/Delete.sid,sid,20005
_High Voltage SID Collection/MUSICIANS/M/Merman/Demolition_Man.sid,sid,20006
_High Voltage SID Collection/MUSICIANS/M/Merman/Dented_Pride.sid,sid,20007
_High Voltage SID Collection/MUSICIANS/M/Merman/De_Do_Do_Do_99.sid,sid,20008
_High Voltage SID Collection/MUSICIANS/M/Merman/De_Do_Do_Do_version_1.sid,sid,20009
_High Voltage SID Collection/MUSICIANS/M/Merman/Diggsys_Dinner.sid,sid,20010
_High Voltage SID Collection/MUSICIANS/M/Merman/Diggsys_Dinner_mix.sid,sid,20011
_High Voltage SID Collection/MUSICIANS/M/Merman/Direct_Current.sid,sid,20012
_High Voltage SID Collection/MUSICIANS/M/Merman/Dirty_Bass.sid,sid,20013
_High Voltage SID Collection/MUSICIANS/M/Merman/Disrespect.sid,sid,20014
_High Voltage SID Collection/MUSICIANS/M/Merman/Dissent.sid,sid,20015
_High Voltage SID Collection/MUSICIANS/M/Merman/Does_Everyone_Stare.sid,sid,20016
_High Voltage SID Collection/MUSICIANS/M/Merman/Dont_Look_Back_in_Anger.sid,sid,20017
_High Voltage SID Collection/MUSICIANS/M/Merman/Dont_Look_Back_in_Anger_edit.sid,sid,20018
_High Voltage SID Collection/MUSICIANS/M/Merman/Dont_Mean_a_Thing.sid,sid,20019
_High Voltage SID Collection/MUSICIANS/M/Merman/Dont_Speak.sid,sid,20020
_High Voltage SID Collection/MUSICIANS/M/Merman/Dont_Stand_So_Close_to_Me.sid,sid,20021
_High Voltage SID Collection/MUSICIANS/M/Merman/Downgrade.sid,sid,20022
_High Voltage SID Collection/MUSICIANS/M/Merman/Downpour.sid,sid,20023
_High Voltage SID Collection/MUSICIANS/M/Merman/Do_the_Bartman.sid,sid,20024
_High Voltage SID Collection/MUSICIANS/M/Merman/Do_You_Want_to_Know_a_Secret.sid,sid,20025
_High Voltage SID Collection/MUSICIANS/M/Merman/Dream.sid,sid,20026
_High Voltage SID Collection/MUSICIANS/M/Merman/Driven_to_Tears.sid,sid,20027
